Id_Equipament,Nom_Equipament,Tipus_Equipament,Te_Subseus,Id_Seu_Principal,Es_subseu_de,Es_seu_principal,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Entitat,Notes_Equipament,Latitud,Longitud
232,Fundació Foto Colectania,Museus i col·leccions,NO,,,1,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Fundació Foto Colectània,,41.3876349,2.1827391
38,Fundació Fran Daurel,Museus i col·leccions,NO,,,1,03,Sants-Montjuïc,11,el Poble Sec,Titularitat privada,Fundació Fran Daurel,,41.36898602421388,2.147697935147927
307,Fundació Joan Brossa - Centre de les Arts Lliures,Fàbriques de Creació,NO,,,1,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Ajuntament de Barcelona,Fundació Joan Brossa,,41.385217359,2.182361375
29,Fundació Joan Miró,Museus i col·leccions,NO,,,1,03,Sants-Montjuïc,11,el Poble Sec,Consorci o fundació amb presència administracions públiques,Fundació Joan Miró,,41.36863,2.159851
494,Fundació Julio Muñoz Ramonet,Espais d'interès patrimonial,NO,,,1,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Ajuntament de Barcelona,Fundació Julio Muñoz i Ramonet. Ajuntament de Barcelona,,41.39656898913028,2.147035912539778
40,Fundació Suñol,Museus i col·leccions,NO,,,1,04,Les Corts,20,la Maternitat i Sant Ramon,Titularitat privada,Fundació Privada Josep I. Suñol Soler,,41.3826167,2.1262746
483,Garage 442,Sales de música en viu,NO,,,1,02,Eixample,07,la Dreta de l'Eixample,Titularitat privada,Garage 442,,41.39727,2.16072
484,Gatsby,Sales de música en viu,NO,,,1,05,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Titularitat privada,Gatsby,,41.39637,2.15142
136,Golem'S,Sales d'arts escèniques,NO,,,1,06,Gràcia,31,la Vila de Gràcia,Titularitat privada,Magandango,,41.406091398,2.16140486
191,Gran Teatre del Liceu,Grans auditoris,NO,,,1,01,Ciutat Vella,01,el Raval,Consorci o fundació amb presència administracions públiques,Consorci del Gran Teatre del Liceu,,41.380115249,2.173329003
241,Graner,Fàbriques de Creació,NO,,,1,03,Sants-Montjuïc,13,la Marina de Port,Ajuntament de Barcelona,Consorci Mercat de les Flors,,41.361492275,2.135956703
485,Guzzo,Sales de música en viu,NO,,,1,01,Ciutat Vella,04,"Sant Pere, Santa Caterina i la Ribera",Titularitat privada,Guzzo,,41.38532,2.18368
