Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2024,Multidisciplinaris i altres,Ajuntament de Barcelona,Festivals,16,Barcelona Districte Cultural,09/10/2024,21/12/2024,18217,,Xarxa de centres cívics,Institut de Cultura. Ajuntament de Barcelona,
2024,Audiovisuals,Titularitat privada,Festivals,17,IndiFest Festival de Cinema Indígena de Barcelona,09/10/2024,20/10/2024,1851,399,Diversos espais de la ciutat,AlterNativa Intercanvi amb Pobles Indígenes,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,13,Festival Mixtur,10/10/2024,20/10/2024,3258,,Diversos espais de la ciutat,Assoc. Col·lectiu Mixtur,
2024,Audiovisuals,Titularitat privada,Festivals,4,Festival Rellisquin,10/10/2024,13/10/2024,,,,Taula Eix Pere IV,
2024,Música,Titularitat privada,Festivals,56,Festival de Jazz de Barcelona,11/10/2024,20/12/2024,58117,,Diversos espais de la ciutat,The Project Music Company,
2024,Lletres,Titularitat privada,Festivals,15,Munt de Mots. Festival de Narració Oral de Barcelona,14/10/2024,26/10/2024,1005,19,Centres Cívics i Biblioteques de Barcelona,Assoc. Munt de Paraules,
2024,Audiovisuals,Titularitat privada,Festivals,11,Serielizados Fest,14/10/2024,27/10/2024,9000,,Diversos espais de la ciutat,"Kottbusser, S.L",
2024,Arts visuals,Titularitat privada,Festivals,19,Barcelona Design Week City Festival,16/10/2024,26/10/2024,,,,Barcelona Centre de Disseny,
2024,Audiovisuals,Titularitat privada,Festivals,12,Choreoscope Barcelona Dance Film Festival,16/10/2024,31/12/2024,1959,77660,Diversos espais de la ciutat,Associacio Choreoscope,
2024,Audiovisuals,Mixta,Festivals,13,Cinema Alemany Actual,17/10/2024,30/10/2024,,,Filmoteca de Catalunya,Goethe-Institut Barcelona (en col·laboració amb la Filmoteca de Catalunya),
2024,Música,Titularitat privada,Festivals,31,Ciutat Flamenco,17/10/2024,27/10/2024,2007,99,Diversos espais de la ciutat,Fund. Privada Taller de Músics,
2024,Arts escèniques,Titularitat privada,Festivals,23,Escena Poblenou,17/10/2024,20/10/2024,2157,,Barri Poble Nou,Assoc. Festival de creació contemporània Escena Poblenou,
2024,Lletres,Mixta,Festivals,3,FLIB. Festival de Literatura Italiana a Barcelona,17/10/2024,27/10/2024,1110,,Biblioteca Jaume Fuster i Llibreria Le Nuvole,Biblioteques de Barcelona i Assoc. Cultural Le Nuvole,
2024,Audiovisuals,Ajuntament de Barcelona,Festivals,13,Pantalla Barcelona,17/10/2024,29/03/2025,4107,,Xarxa de centres cívics,Institut de Cultura. Ajuntament de Barcelona,
2024,Lletres,Titularitat privada,Festivals,7,Qlit. Festival de Literatura Queer,17/10/2024,18/10/2024,150,,Centre LGTBI de Barcelona i Llibreria La Calders,Assoc. d'Escriptors en Llengua Catalana (AELC),
2024,Arts visuals,Ajuntament de Barcelona,Festivals,14,Barcelona Dibuixa,19/10/2024,20/10/2024,7095,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,
2024,Arts escèniques,Ajuntament de Barcelona,Festivals,20,Festival Dansat,19/10/2024,27/10/2024,968,,"SAT! Sant Andreu Teatre, Plaça Can Fabra i Plaça de Robert Gerhard",N54 Produccions,
2024,Audiovisuals,Titularitat privada,Festivals,15,Flux. Festival de Vídeo d'Autor,19/10/2024,16/11/2025,,,CC Sant Agustí,Habitual Video Team,
2024,Música,Titularitat privada,Festivals,7,Festival de Fado,20/10/2024,24/10/2024,991,,"L'Auditori de Barcelona, CaixaForum Barcelona i Libreria Byron",ALTO E BOM SOM,
2024,Audiovisuals,Titularitat privada,Festivals,22,Festival In-Edit,23/10/2024,03/11/2024,,,Cinemes Aribau Multicines,"Athletic Promotions 2005, SL.",
2024,Audiovisuals,Titularitat privada,Festivals,12,Asian Film Festival,24/10/2024,03/11/2024,,,Phenomena i Cinemes Girona,Casa Àsia,
2024,Multidisciplinaris i altres,Titularitat privada,Festivals,5,Fixing the Future,24/10/2024,26/10/2024,,,Disseny Hub Barcelona,Atlas of the Future,
